feature,importance
ema_50,0.058023274
week_of_year,0.057613086
ema_20,0.055080935
day_of_month,0.054245275
price_above_ema50,0.049846794
day_of_week,0.048478562
hour,0.0471468
session_european,0.046755552
session_us,0.046040513
session_asian,0.043773692
spread,0.040744513
macd_signal,0.03776411
volatility_20,0.0332897
macd,0.032910388
adx,0.031552605
tickvol,0.031538744
rsi_overbought,0.025302859
macd_diff,0.024169326
rsi_oversold,0.023995139
volatility_10,0.023545694
price_above_ema20,0.021633143
momentum_20,0.021220872
rsi,0.020229334
ema_distance,0.019962661
momentum_10,0.019161599
candle_range,0.014787266
momentum_5,0.0106773125
momentum_3,0.010357756
rsi_slope,0.008364565
candle_body,0.007457584
lower_wick,0.0069792145
momentum_1,0.00676549
rsi_momentum,0.0061532496
upper_wick,0.006149996
body_ratio,0.005229928
rsi_cross_above_35,0.003052509
rsi_cross_below_65,0.0
vol,0.0
